CaseID ;Title                                                            ;Location                                                   ;City                                         ;State                ;Latitude           ;Longitude    ;Number of Victim Fatalities ;Total Number of Fatalities ;Number of Victims Injured ;Total_Number_of_Victims
77.0   ;Radisson Bay Harbor Inn                                          ;Tampa, Florida                                             ;Tampa                                        ;Florida              ;27.99601861        ;-82.44503769 ;5.0                         ;5.0                        ;3.0                       ;8.0
104.0  ;Mojave High School Bus                                           ;Las Vegas, Nevada                                          ;Las Vegas                                    ;Nevada               ;36.18931923        ;-115.3264875 ;0.0                         ;0.0                        ;6.0                       ;6.0
237.0  ;Oakland, Maine                                                   ;Oakland, Maine                                             ;Oakland                                      ;Maine                ;44.54994725        ;-69.70782299 ;3.0                         ;4.0                        ;0.0                       ;3.0
260.0  ;Sherman, Texas                                                   ;Sherman, Texas                                             ;Sherman                                      ;Texas                ;33.635661999999996 ;-96.60888    ;3.0                         ;4.0                        ;0.0                       ;3.0
221.0  ;River Forest                                                     ;River Forest, Illinois                                     ;River Forest                                 ;Illinois             ;41.89499946        ;-87.81941392 ;1.0                         ;2.0                        ;3.0                       ;4.0
42.0   ;Dearborn Post Office                                             ;Dearborn, Michigan                                         ;Dearborn                                     ;Michigan             ;42.31269522        ;-83.21293244 ;1.0                         ;2.0                        ;2.0                       ;3.0
109.0  ;South Mountain Community College                                 ;Phoenix, Arizona                                           ;Phoenix                                      ;Arizona              ;33.57145875        ;-112.0904854 ;0.0                         ;0.0                        ;3.0                       ;3.0
219.0  ;Miami Gardens                                                    ;Miami Gardens, Florida                                     ;Miami Gardens                                ;Florida              ;25.94326707        ;-80.24253243 ;0.0                         ;0.0                        ;4.0                       ;4.0
39.0   ;Schuyler County Office Building                                  ;Watkins Glen, New York                                     ;Watkins Glen                                 ;New York             ;42.38013875        ;-76.86724659 ;4.0                         ;5.0                        ;0.0                       ;4.0
134.0  ;Accent Signage Systems in Minneapolis                            ;Minneapolis, Minnesota                                     ;Minneapolis                                  ;Minnesota            ;44.96358722        ;-93.26783687 ;6.0                         ;7.0                        ;2.0                       ;8.0
291.0  ;Roswell, GA Hookah shootout                                      ;Roswell, Georgia                                           ;Roswell                                      ;Georgia              ;34.023243          ;-84.361556   ;0.0                         ;0.0                        ;4.0                       ;4.0
5.0    ;Olean High School                                                ;Olean, New York                                            ;Olean                                        ;New York             ;42.08185369        ;-78.43213922 ;3.0                         ;3.0                        ;7.0                       ;10.0
107.0  ;Northern Illinois University                                     ;DeKalb, Illinois                                           ;DeKalb                                       ;Illinois             ;41.93172129        ;-88.74814853 ;5.0                         ;6.0                        ;17.0                      ;22.0
